name;price;profit_pct
Share-DUPH;10010;12.25
Share-GTAN;26040;38.06
Share-USUF;9250;27.69
Share-CFOZ;10640;38.21
Share-QLRX;15720;27.47
Share-XJDT;0;37.11
Share-HKFP;23970;19.66
Share-PPPH;24060;38.2
Share-HLJY;26980;5.54
Share-YKBD;0;22.75
Share-CTCR;16600;12.4
Share-LMJG;16540;29.82
Share-IGUH;19130;14.3
Share-VIRY;31940;1.84
Share-PYDS;34900;30.69
Share-SOOE;23090;38.04
Share-NOIQ;24080;36.81
Share-QUXB;36970;36.08
Share-SJNY;24610;17.43
Share-CQYF;26260;0.65
Share-XJSP;42080;3.03
Share-YNWM;9940;28.25
Share-KTGN;6410;25.37
Share-KWZO;41420;1.19
Share-BVMS;27840;4.51
Share-DAPD;8470;6.66
Share-TVRM;31060;6.63
Share-EIYB;11490;37.74
Share-NNGR;43150;15.09
Share-XWRU;28600;23.37
Share-YEZB;17150;30.28
Share-AQHE;7800;5.36
Share-IJAW;0;30.69
Share-SEBO;35850;14.79
Share-MWTE;0;18.37
Share-ZWIY;18360;11.91
Share-BAOJ;38200;28.36
Share-GKWN;16010;33.52
Share-UZPA;27490;4.4
Share-HODN;34800;7.29
Share-HRDA;27450;33.65
Share-ZRWP;25990;6.72
Share-JWSN;23240;7.28
Share-RLHB;38230;4.46
Share-FFBY;22050;11.41
Share-FTYF;9560;31.54
Share-KNZG;14860;13.8
Share-QPSA;28950;29.9
Share-JMGY;28800;3.11
Share-KWDY;26040;37.89
Share-OWCV;30210;0.74
Share-HUIT;36370;17.87
Share-MSKF;19760;3.64
Share-GFJZ;34570;26.08
Share-IKZL;41630;18.98
Share-BLKR;45910;15.19
Share-INSV;32900;34.47
Share-VBXG;30230;35.48
Share-LTLT;28670;16.65
Share-JTQE;33070;30.91
Share-OHTK;7760;15.36
Share-XBOW;30980;8.13
Share-PKFS;19160;25.16
Share-BQZO;25920;0.02
Share-MCUJ;12510;3.65
Share-TTXF;20120;37
Share-CZZS;27260;31.2
Share-BGRQ;25390;11.63
Share-SVAM;18370;18.91
Share-IYAT;14950;19.52
Share-NNSM;12030;32.13
Share-VLWV;3700;3.85
Share-XSSB;22120;38.25
Share-CIIX;1410;18.22
Share-SJAK;33200;12.93
Share-CEBR;45890;0.04
Share-CLIJ;33150;23.23
Share-XRVK;47490;2.85
Share-OOUK;36530;12.05
Share-ZBMZ;31300;34.14
Share-KVDA;25110;13.91
Share-PARA;14330;1.54
Share-TNBA;23580;35.62
Share-CSQA;2710;8.5
Share-HKEJ;15190;16.62
Share-AOLT;48530;36.44
Share-YRVP;21910;10.98
Share-IPGW;17240;15.29
Share-IYEW;38320;36.79
Share-WZHT;36020;24.81
Share-FAHD;47390;4.52
Share-EFHD;25310;19.81
Share-IQHP;41000;32.06
Share-XOQL;18720;15.03
Share-CZAX;38050;30.64
Share-UVZJ;0;26.26
Share-RUFN;10880;37.03
Share-ZIGX;41520;13.39
Share-KMOP;25250;33.24
Share-VTYP;13680;31.22
Share-WENI;27110;34.87
Share-YEYF;49100;24.88
Share-EKHU;47130;35.03
Share-JPLU;10720;29.16
Share-CVKQ;27890;6.06
Share-TFNF;38630;33.34
Share-LRYZ;32770;38.16
Share-SUDI;38720;25.01
Share-GFBR;22190;21.05
Share-ELHS;36470;1.05
Share-BOET;0;37.01
Share-PFOA;8540;19.08
Share-HRKX;14090;33.42
Share-DEMQ;19250;35.29
Share-MONJ;10670;7.47
Share-XQOA;18650;2.68
Share-RZCS;36450;12.78
Share-DAPQ;21360;19.57
Share-OUGA;8990;7.35
Share-BCVC;20690;33.51
Share-BHXC;41140;19.5
Share-NTBS;24420;10.33
Share-WVBR;25110;2.9
Share-GCEX;0;34.72
Share-RBJP;12540;11.82
Share-QNMW;10160;11.13
Share-FLLX;2350;4.74
Share-MHMX;19480;26.47
Share-DAWU;7400;5.24
Share-ETOR;12330;7.35
Share-GVVO;2220;28.52
Share-SPAR;42660;10.72
Share-DWQL;0;19.69
Share-IFCP;29230;39.88
Share-WYAL;42120;15.21
Share-OFZD;31480;13.78
Share-KLCJ;13750;18.04
Share-JNUW;30610;17.58
Share-SHFZ;32790;27.62
Share-CYLT;33730;24.2
Share-JHLP;42970;37.12
Share-DLGZ;34710;33.88
Share-COUC;20990;5.93
